Entity,Code,Year,fertility2019,population
Afghanistan,AFG,2019,4.321,38042000
Africa,,2019,4.353,1308064000
Albania,ALB,2019,1.597,2881000
Algeria,DZA,2019,2.988,43053000
Angola,AGO,2019,5.442,31825000
Antigua and Barbuda,ATG,2019,1.987,97000
Argentina,ARG,2019,2.247,44781000
Armenia,ARM,2019,1.758,2958000
Aruba,ABW,2019,1.901,106000
Asia,,2019,2.133,4601371136
Australia,AUS,2019,1.815,25203000
Austria,AUT,2019,1.544,8955000
Azerbaijan,AZE,2019,2.063,10048000
Bahamas,BHS,2019,1.743,389000
Bahrain,BHR,2019,1.964,1641000
Bangladesh,BGD,2019,2.011,163046000
Barbados,BRB,2019,1.623,287000
Belarus,BLR,2019,1.722,9452000
Belgium,BEL,2019,1.715,11539000
Belize,BLZ,2019,2.274,390000
Benin,BEN,2019,4.767,11801000
Bhutan,BTN,2019,1.954,763000
Bolivia,BOL,2019,2.688,11513000
Bosnia and Herzegovina,BIH,2019,1.254,3301000
Botswana,BWA,2019,2.836,2304000
Brazil,BRA,2019,1.719,211050000
British Virgin Islands,VGB,2019,,30000
Brunei,BRN,2019,1.819,433000
Bulgaria,BGR,2019,1.574,7000000
Burkina Faso,BFA,2019,5.109,20321000
Burundi,BDI,2019,5.321,11531000
Cambodia,KHM,2019,2.478,16487000
Cameroon,CMR,2019,4.506,25876000
Canada,CAN,2019,1.509,37411000
Cape Verde,CPV,2019,2.242,550000
Caribbean,,2019,2.174,
Central African Republic,CAF,2019,4.645,4745000
Chad,TCD,2019,5.649,15947000
Channel Islands,OWID_CIS,2019,1.509,172000
Chile,CHL,2019,1.627,18952000
China,CHN,2019,1.696,1433784064
Colombia,COL,2019,1.789,50339000
Comoros,COM,2019,4.138,851000
Congo,COG,2019,4.374,5381000
Cook Islands,COK,2019,,18000
Costa Rica,CRI,2019,1.737,5048000
Cote d'Ivoire,CIV,2019,4.593,25717000
Croatia,HRV,2019,1.431,4130000
Cuba,CUB,2019,1.602,11333000
Curacao,CUW,2019,1.734,163000
Cyprus,CYP,2019,1.321,1199000
Czechia,CZE,2019,1.659,10689000
Democratic Republic of Congo,COD,2019,5.819,86791000
Denmark,DNK,2019,1.764,5772000
Djibouti,DJI,2019,2.676,974000
Dominica,DMA,2019,,72000
Dominican Republic,DOM,2019,2.323,10739000
Ecuador,ECU,2019,2.403,17374000
Egypt,EGY,2019,3.28,100388000
El Salvador,SLV,2019,2.021,6454000
Equatorial Guinea,GNQ,2019,4.429,1356000
Eritrea,ERI,2019,3.997,3497000
Estonia,EST,2019,1.599,1326000
Eswatini,SWZ,2019,2.958,1148000
Ethiopia,ETH,2019,4.146,112079000
Europe,,2019,1.61,747182976
Fiji,FJI,2019,2.754,890000
Finland,FIN,2019,1.483,5532000
France,FRA,2019,1.846,65130000
French Guiana,GUF,2019,3.311,291000
French Polynesia,PYF,2019,1.927,279000
Gabon,GAB,2019,3.922,2173000
Gambia,GMB,2019,5.154,2348000
Georgia,GEO,2019,2.055,3997000
Germany,DEU,2019,1.6,83517000
Ghana,GHA,2019,3.816,30418000
Gibraltar,GIB,2019,,34000
Greece,GRC,2019,1.287,10473000
Greenland,GRL,2019,,57000
Grenada,GRD,2019,2.042,112000
Guadeloupe,GLP,2019,2.148,400000
Guam,GUM,2019,2.293,167000
Guatemala,GTM,2019,2.822,17581000
Guinea,GIN,2019,4.625,12771000
Guinea-Bissau,GNB,2019,4.402,1921000
Guyana,GUY,2019,2.44,783000
Haiti,HTI,2019,2.887,11263000
Honduras,HND,2019,2.427,9746000
Hong Kong,HKG,2019,1.356,7436000
Hungary,HUN,2019,1.51,9685000
Iceland,ISL,2019,1.745,339000
India,IND,2019,2.202,1366418048
Indonesia,IDN,2019,2.288,270625984
Iran,IRN,2019,2.146,82914000
Iraq,IRQ,2019,3.597,39310000
Ireland,IRL,2019,1.821,4882000
Israel,ISR,2019,3.018,8519000
Italy,ITA,2019,1.313,60550000
Jamaica,JAM,2019,1.965,2948000
Japan,JPN,2019,1.366,126860000
Jordan,JOR,2019,2.691,10102000
Kazakhstan,KAZ,2019,2.733,18551000
Kenya,KEN,2019,3.423,52574000
Kiribati,KIR,2019,3.53,118000
Kuwait,KWT,2019,2.077,4207000
Kyrgyzstan,KGZ,2019,2.952,6416000
Laos,LAO,2019,2.626,7169000
Latvia,LVA,2019,1.732,1907000
Lebanon,LBN,2019,2.075,6856000
Lesotho,LSO,2019,3.108,2125000
Liberia,LBR,2019,4.247,4937000
Libya,LBY,2019,2.206,6777000
Lithuania,LTU,2019,1.684,2760000
Luxembourg,LUX,2019,1.432,616000
Macao,MAC,2019,1.228,640000
Madagascar,MDG,2019,4.026,26969000
Malawi,MWI,2019,4.127,18629000
Malaysia,MYS,2019,1.983,31950000
Maldives,MDV,2019,1.84,531000
Mali,MLI,2019,5.785,19658000
Malta,MLT,2019,1.467,440000
Martinique,MTQ,2019,1.86,376000
Mauritania,MRT,2019,4.503,4526000
Mauritius,MUS,2019,1.368,1270000
Mayotte,MYT,2019,3.632,266000
Mexico,MEX,2019,2.103,127576000
Micronesia (country),FSM,2019,3.01,114000
Moldova,MDA,2019,1.269,4043000
Mongolia,MNG,2019,2.867,3225000
Montenegro,MNE,2019,1.748,628000
Morocco,MAR,2019,2.382,36472000
Mozambique,MOZ,2019,4.783,30366000
Myanmar,MMR,2019,2.138,54045000
Namibia,NAM,2019,3.344,2495000
Nepal,NPL,2019,1.876,28609000
Netherlands,NLD,2019,1.662,17097000
New Caledonia,NCL,2019,1.942,283000
New Zealand,NZL,2019,1.879,4783000
Nicaragua,NIC,2019,2.377,6546000
Niger,NER,2019,6.824,23311000
Nigeria,NGA,2019,5.317,200964000
North Korea,PRK,2019,1.896,25666000
North Macedonia,MKD,2019,1.489,2083000
Norway,NOR,2019,1.678,5379000
Oman,OMN,2019,2.842,4975000
Pakistan,PAK,2019,3.454,216564992
Palestine,PSE,2019,3.56,4981000
Panama,PAN,2019,2.437,4246000
Papua New Guinea,PNG,2019,3.52,8776000
Paraguay,PRY,2019,2.405,7045000
Peru,PER,2019,2.233,32510000
Philippines,PHL,2019,2.526,108117000
Poland,POL,2019,1.435,37888000
Portugal,PRT,2019,1.303,10226000
Puerto Rico,PRI,2019,1.192,2933000
Qatar,QAT,2019,1.846,2832000
Reunion,REU,2019,2.238,889000
Romania,ROU,2019,1.631,19365000
Russia,RUS,2019,1.83,145872000
Rwanda,RWA,2019,3.99,12627000
Saint Lucia,LCA,2019,1.424,183000
Saint Vincent and the Grenadines,VCT,2019,1.872,111000
Samoa,WSM,2019,3.83,197000
Sao Tome and Principe,STP,2019,4.267,215000
Saudi Arabia,SAU,2019,2.275,34269000
Senegal,SEN,2019,4.556,16296000
Serbia,SRB,2019,1.447,8772000
Seychelles,SYC,2019,2.433,98000
Sierra Leone,SLE,2019,4.169,7813000
Singapore,SGP,2019,1.217,5804000
Slovakia,SVK,2019,1.521,5457000
Slovenia,SVN,2019,1.613,2079000
Solomon Islands,SLB,2019,4.361,670000
Somalia,SOM,2019,5.978,15443000
South Africa,ZAF,2019,2.381,58558000
South Korea,KOR,2019,1.093,51225000
South Sudan,SSD,2019,4.619,11062000
Spain,ESP,2019,1.344,46737000
Sri Lanka,LKA,2019,2.188,21324000
Sudan,SDN,2019,4.347,42813000
Suriname,SUR,2019,2.394,581000
Sweden,SWE,2019,1.846,10036000
Switzerland,CHE,2019,1.542,8591000
Syria,SYR,2019,2.771,17070000
Taiwan,TWN,2019,1.174,23774000
Tajikistan,TJK,2019,3.556,9321000
Tanzania,TZA,2019,4.832,58005000
Thailand,THA,2019,1.514,69626000
Timor,TLS,2019,3.943,1293000
Togo,TGO,2019,4.259,8082000
Tonga,TON,2019,3.518,104000
Trinidad and Tobago,TTO,2019,1.711,1395000
Tunisia,TUN,2019,2.174,11695000
Turkey,TUR,2019,2.055,83430000
Turkmenistan,TKM,2019,2.74,5942000
Uganda,UGA,2019,4.824,44270000
Ukraine,UKR,2019,1.438,43994000
United Arab Emirates,ARE,2019,1.387,9771000
United Kingdom,GBR,2019,1.746,67530000
United States,USA,2019,1.772,329064992
United States Virgin Islands,VIR,2019,2.014,105000
Uruguay,URY,2019,1.963,3462000
Uzbekistan,UZB,2019,2.398,32982000
Vanuatu,VUT,2019,3.744,300000
Venezuela,VEN,2019,2.25,28516000
Vietnam,VNM,2019,2.05,96462000
Western Sahara,ESH,2019,2.372,582000
World,OWID_WRL,2019,2.452,7713467904
Yemen,YEM,2019,3.7,29162000
Zambia,ZMB,2019,4.559,17861000
Zimbabwe,ZWE,2019,3.531,14645000
